French,English
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
laisser,let
aucun,no
eux,them
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
revoir,meet again
place,square
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
train,train
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
première,first
vieux,old
tiens,here
tellement,so much
enfant,child
point,point
suite,after
devant,in front of
vers,towards
demandé,request
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
arrêter,Stop
dirait,would say
donne,given
fin,end
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
jouer,to play
